genre,sample_rate,artist,length,song_name,part,file_path
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,1,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part1
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,2,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part2
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,3,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part3
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,4,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part4
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,5,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part5
acoustic,48000,Alexi Murdoch,18216960,Orange Sky,6,../data/song_mels/acoustic/Alexi Murdoch_Orange Sky_part6
acoustic,48000,Alexi Murdoch,12343680,Song for You,1,../data/song_mels/acoustic/Alexi Murdoch_Song for You_part1
acoustic,48000,Alexi Murdoch,12343680,Song for You,2,../data/song_mels/acoustic/Alexi Murdoch_Song for You_part2
acoustic,48000,Alexi Murdoch,12343680,Song for You,3,../data/song_mels/acoustic/Alexi Murdoch_Song for You_part3
acoustic,48000,Alexi Murdoch,12343680,Song for You,4,../data/song_mels/acoustic/Alexi Murdoch_Song for You_part4
acoustic,48000,Amy Macdonald,9409655,This Is the Life,1,../data/song_mels/acoustic/Amy Macdonald_This Is the Life_part1
acoustic,48000,Amy Macdonald,9409655,This Is the Life,2,../data/song_mels/acoustic/Amy Macdonald_This Is the Life_part2
acoustic,48000,Amy Macdonald,9409655,This Is the Life,3,../data/song_mels/acoustic/Amy Macdonald_This Is the Life_part3
acoustic,44100,Bob Dylan,7506944,Blowin' in the Wind,1,../data/song_mels/acoustic/Bob Dylan_Blowin' in the Wind_part1
acoustic,44100,Bob Dylan,7506944,Blowin' in the Wind,2,../data/song_mels/acoustic/Bob Dylan_Blowin' in the Wind_part2
acoustic,44100,Bon Iver,9640960,Flume,1,../data/song_mels/acoustic/Bon Iver_Flume_part1
acoustic,44100,Bon Iver,9640960,Flume,2,../data/song_mels/acoustic/Bon Iver_Flume_part2
acoustic,44100,Bon Iver,9640960,Flume,3,../data/song_mels/acoustic/Bon Iver_Flume_part3
acoustic,48000,Bon Iver,19211076,re# stacks,1,../data/song_mels/acoustic/Bon Iver_re# stacks_part1
acoustic,48000,Bon Iver,19211076,re# stacks,2,../data/song_mels/acoustic/Bon Iver_re# stacks_part2
acoustic,48000,Bon Iver,19211076,re# stacks,3,../data/song_mels/acoustic/Bon Iver_re# stacks_part3
acoustic,48000,Bon Iver,19211076,re# stacks,4,../data/song_mels/acoustic/Bon Iver_re# stacks_part4
acoustic,48000,Bon Iver,19211076,re# stacks,5,../data/song_mels/acoustic/Bon Iver_re# stacks_part5
acoustic,48000,Bon Iver,19211076,re# stacks,6,../data/song_mels/acoustic/Bon Iver_re# stacks_part6
acoustic,48000,Bon Iver,11080377,Skinny Love,1,../data/song_mels/acoustic/Bon Iver_Skinny Love_part1
acoustic,48000,Bon Iver,11080377,Skinny Love,2,../data/song_mels/acoustic/Bon Iver_Skinny Love_part2
acoustic,48000,Bon Iver,11080377,Skinny Love,3,../data/song_mels/acoustic/Bon Iver_Skinny Love_part3
acoustic,48000,Brett Dennen,10455667,Ain't No Reason,1,../data/song_mels/acoustic/Brett Dennen_Ain't No Reason_part1
acoustic,48000,Brett Dennen,10455667,Ain't No Reason,2,../data/song_mels/acoustic/Brett Dennen_Ain't No Reason_part2
acoustic,48000,Brett Dennen,10455667,Ain't No Reason,3,../data/song_mels/acoustic/Brett Dennen_Ain't No Reason_part3
acoustic,48000,Bright Eyes,8935968,First Day of My Life,1,../data/song_mels/acoustic/Bright Eyes_First Day of My Life_part1
acoustic,48000,Bright Eyes,8935968,First Day of My Life,2,../data/song_mels/acoustic/Bright Eyes_First Day of My Life_part2
acoustic,48000,Bright Eyes,8935968,First Day of My Life,3,../data/song_mels/acoustic/Bright Eyes_First Day of My Life_part3
acoustic,48000,Carla Bruni,8148533,Quelqu'un m'a dit,1,../data/song_mels/acoustic/Carla Bruni_Quelqu'un m'a dit_part1
acoustic,48000,Carla Bruni,8148533,Quelqu'un m'a dit,2,../data/song_mels/acoustic/Carla Bruni_Quelqu'un m'a dit_part2
acoustic,44100,Cat Stevens,11849728,Father and Son,1,../data/song_mels/acoustic/Cat Stevens_Father and Son_part1
acoustic,44100,Cat Stevens,11849728,Father and Son,2,../data/song_mels/acoustic/Cat Stevens_Father and Son_part2
acoustic,44100,Cat Stevens,11849728,Father and Son,3,../data/song_mels/acoustic/Cat Stevens_Father and Son_part3
acoustic,44100,Cat Stevens,11849728,Father and Son,4,../data/song_mels/acoustic/Cat Stevens_Father and Son_part4
acoustic,48000,Colbie Caillat,9241357,Bubbly,1,../data/song_mels/acoustic/Colbie Caillat_Bubbly_part1
acoustic,48000,Colbie Caillat,9241357,Bubbly,2,../data/song_mels/acoustic/Colbie Caillat_Bubbly_part2
acoustic,48000,Colbie Caillat,9241357,Bubbly,3,../data/song_mels/acoustic/Colbie Caillat_Bubbly_part3
acoustic,44100,Colin Hay,13840384,I Just Don't Think I'll Ever Get Over You,1,../data/song_mels/acoustic/Colin Hay_I Just Don't Think I'll Ever Get Over You_part1
acoustic,44100,Colin Hay,13840384,I Just Don't Think I'll Ever Get Over You,2,../data/song_mels/acoustic/Colin Hay_I Just Don't Think I'll Ever Get Over You_part2
acoustic,44100,Colin Hay,13840384,I Just Don't Think I'll Ever Get Over You,3,../data/song_mels/acoustic/Colin Hay_I Just Don't Think I'll Ever Get Over You_part3
acoustic,44100,Colin Hay,13840384,I Just Don't Think I'll Ever Get Over You,4,../data/song_mels/acoustic/Colin Hay_I Just Don't Think I'll Ever Get Over You_part4
acoustic,44100,Colin Hay,13840384,I Just Don't Think I'll Ever Get Over You,5,../data/song_mels/acoustic/Colin Hay_I Just Don't Think I'll Ever Get Over You_part5
acoustic,48000,Damien Rice,10717589,9 Crimes,1,../data/song_mels/acoustic/Damien Rice_9 Crimes_part1
acoustic,48000,Damien Rice,10717589,9 Crimes,2,../data/song_mels/acoustic/Damien Rice_9 Crimes_part2
acoustic,48000,Damien Rice,10717589,9 Crimes,3,../data/song_mels/acoustic/Damien Rice_9 Crimes_part3
acoustic,48000,Damien Rice,15088884,Delicate,1,../data/song_mels/acoustic/Damien Rice_Delicate_part1
acoustic,48000,Damien Rice,15088884,Delicate,2,../data/song_mels/acoustic/Damien Rice_Delicate_part2
acoustic,48000,Damien Rice,15088884,Delicate,3,../data/song_mels/acoustic/Damien Rice_Delicate_part3
acoustic,48000,Damien Rice,15088884,Delicate,4,../data/song_mels/acoustic/Damien Rice_Delicate_part4
acoustic,48000,Damien Rice,15088884,Delicate,5,../data/song_mels/acoustic/Damien Rice_Delicate_part5
acoustic,48000,Damien Rice,14127578,The Blower's Daughter,1,../data/song_mels/acoustic/Damien Rice_The Blower's Daughter_part1
acoustic,48000,Damien Rice,14127578,The Blower's Daughter,2,../data/song_mels/acoustic/Damien Rice_The Blower's Daughter_part2
acoustic,48000,Damien Rice,14127578,The Blower's Daughter,3,../data/song_mels/acoustic/Damien Rice_The Blower's Daughter_part3
acoustic,48000,Damien Rice,14127578,The Blower's Daughter,4,../data/song_mels/acoustic/Damien Rice_The Blower's Daughter_part4
acoustic,44100,Damien Rice,12395520,Volcano,1,../data/song_mels/acoustic/Damien Rice_Volcano_part1
acoustic,44100,Damien Rice,12395520,Volcano,2,../data/song_mels/acoustic/Damien Rice_Volcano_part2
acoustic,44100,Damien Rice,12395520,Volcano,3,../data/song_mels/acoustic/Damien Rice_Volcano_part3
acoustic,44100,Damien Rice,12395520,Volcano,4,../data/song_mels/acoustic/Damien Rice_Volcano_part4
